units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
74,85,Engine Oil Pan,1,False,Mercedes-Benz,Engine,Engine Mechanical,2021,410169,False,True,False,1
139,146,Engine Splash Shield,1,False,Volvo,Body,Air Guides,2019,57467,True,True,True,20
20,46,Window Regulator,1,False,Mercedes-Benz,Body,Regulators,2019,67317,True,True,True,3
1354,1270,Engine Coolant Level Sensor,1,False,Dodge,Electrical,Sensors & Senders,2018,913820,True,True,False,10
83,66,Engine Coolant Reservoir,1,False,Volkswagen,Cooling,Expansion Tanks & Parts,2020,26918,False,True,False,8
579,524,Engine Coolant Temperature Switch,1,False,Volvo,Electrical,"Relays, Switches, Solenoids",2018,334622,False,True,False,12
116,253,Adjustable Torsion Bar Key,2,True,Porsche,Suspension,Hardware,2019,45225,False,True,True,0
105,102,Power Steering Reservoir,1,False,Volkswagen,Steering,Steering,2020,1146254,False,True,False,7
144,151,Suspension Control Arm,1,False,Audi,Suspension,Control Arms,2019,145654,True,True,False,0
27,26,HVAC Heater Blend Door Actuator,1,False,Cadillac,Climate Control,Motors & Servos,2021,160999,True,True,False,3
50,60,Engine Cooling Fan Clutch,1,False,Land Rover,Cooling,Clutches,2020,30144,True,True,True,7
1333,534,Fuel Injection Fuel Accumulator,1,True,Mercedes-Benz,Fuel,Fuel Supply,2018,64538,True,True,True,1
662,240,Ignition Coil,6,False,Cadillac,Electrical,Ignition System,2017,14290,True,True,False,2
68,126,Engine Oil Cooler Hose Assembly,1,True,Volvo,Engine,"Hoses, Pipes, Tubes",2016,123512,True,True,True,4
2335,1912,Engine Coolant Reservoir Cap,1,False,Ford,Cooling,Caps & Boots,2020,388446,True,True,True,6
168,121,Secondary Air Injection Pump,1,False,Lexus,Engine,Emissions,2020,460072,False,True,False,0
355,398,Radiator Coolant Hose,1,False,Porsche,Cooling,"Hoses, Pipes, Tubes",2016,9510,True,True,True,11
217,101,Suspension Stabilizer Bar Bushing,2,False,BMW,Suspension,Mountings & Bushings,2019,238119,True,True,False,2
29,29,A/C Hose Assembly,1,False,Jaguar,Climate Control,"Hoses, Pipes, Tubes",2021,4799,False,True,False,20
324,667,Radiator Coolant Hose Flange,1,False,Volkswagen,Cooling,Flanges & Housings,2017,112851,True,True,False,6
54,38,A/C Receiver Drier,1,False,Volvo,Climate Control,Driers & Accumulators,2019,39021,True,True,False,19
153,102,Engine Coolant Reservoir,1,False,Mercury,Cooling,Expansion Tanks & Parts,2020,594015,True,True,False,1
337,25,Multi Purpose Relay,2,False,Jeep,Electrical,"Relays, Switches, Solenoids",2016,1565108,True,False,False,2
253,231,Window Regulator,1,False,BMW,Body,Regulators,2021,88050,True,True,True,13
31,17,Exterior Door Handle,1,False,BMW,Body,Doors & Windows,2017,160773,True,True,True,3
37,156,Window Regulator,1,False,Volkswagen,Body,Regulators,2017,276548,False,False,False,6
9514,2031,Headlight Bulb,2,False,Saturn,Electrical,Headlamps,2019,7142799,True,True,False,1
580,599,HVAC Blower Motor Resistor,1,False,GMC,Climate Control,Motors & Servos,2019,3047093,True,True,False,0
289,277,Suspension Control Arm,1,True,Jaguar,Suspension,Control Arms,2021,32675,True,True,False,4
