units_sold,id,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
22,120~145099,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2020,64741,16,False,False,False
28,120~145099,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2019,64741,15,False,False,False
18,120~145099,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2018,64741,14,False,False,False
14,120~145099,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2017,64741,13,False,False,False
27,120~145099,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2016,64741,12,False,False,False
189,16~125092,2005-11-15 20:00:00.000,1,False,Mercedes-Benz,Body,2020,3375,16,True,True,False
198,16~125092,2005-11-15 20:00:00.000,1,False,Mercedes-Benz,Body,2019,3375,15,True,True,False
231,16~125092,2005-11-15 20:00:00.000,1,False,Mercedes-Benz,Body,2018,3375,14,True,True,False
201,16~125092,2005-11-15 20:00:00.000,1,False,Mercedes-Benz,Body,2017,3375,13,True,True,False
234,16~125092,2005-11-15 20:00:00.000,1,False,Mercedes-Benz,Body,2016,3375,12,True,True,False
228,121~135229,2005-11-02 20:00:00.000,1,False,Volvo,Engine,2020,128706,16,False,True,False
255,121~135229,2005-11-02 20:00:00.000,1,False,Volvo,Engine,2019,128706,15,False,True,False
282,121~135229,2005-11-02 20:00:00.000,1,False,Volvo,Engine,2018,128706,14,False,True,False
377,121~135229,2005-11-02 20:00:00.000,1,False,Volvo,Engine,2017,128706,13,False,True,False
490,121~135229,2005-11-02 20:00:00.000,1,False,Volvo,Engine,2016,128706,12,False,True,False
157,16~125698,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2020,131096,16,False,True,False
198,16~125698,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2019,131096,15,False,True,False
279,16~125698,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2018,131096,14,False,True,False
342,16~125698,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2017,131096,13,False,True,False
351,16~125698,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2016,131096,12,False,True,False
23,16~125767,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2020,8416,16,False,True,False
42,16~125767,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2019,8416,15,False,True,False
49,16~125767,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2018,8416,14,False,True,False
89,16~125767,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2017,8416,13,False,True,False
113,16~125767,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2016,8416,12,False,True,False
13,16~125782,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2020,28902,16,False,True,False
20,16~125782,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2019,28902,15,False,True,False
37,16~125782,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2018,28902,14,False,True,False
45,16~125782,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2017,28902,13,False,True,False
99,16~125782,2005-11-02 20:00:00.000,1,False,BMW,Cooling,2016,28902,12,False,True,False
67,68~157639,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2020,168351,16,False,True,True
74,68~157639,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2019,168351,15,False,True,True
324,68~157639,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2016,168351,12,False,True,True
294,68~157639,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2017,168351,13,False,True,True
272,68~157639,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2018,168351,14,False,True,True
99,68~157570,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2020,144972,16,False,True,True
207,68~157570,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2019,144972,15,False,True,True
368,68~157570,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2016,144972,12,False,True,True
368,68~157570,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2017,144972,13,False,True,True
344,68~157570,2005-10-31 08:00:00.000,1,False,Volvo,Engine,2018,144972,14,False,True,True
335,4~145567,2005-10-19 19:00:00.000,1,False,Land Rover,Electrical,2020,71559,16,True,True,False
253,4~145567,2005-10-19 19:00:00.000,1,False,Land Rover,Electrical,2019,71559,15,True,True,False
378,4~145567,2005-10-19 19:00:00.000,1,False,Land Rover,Electrical,2018,71559,14,True,True,False
461,4~145567,2005-10-19 19:00:00.000,1,False,Land Rover,Electrical,2017,71559,13,True,True,False
520,4~145567,2005-10-19 19:00:00.000,1,False,Land Rover,Electrical,2016,71559,12,True,True,False
155,337~167554,2005-10-19 07:00:00.000,1,False,Land Rover,Electrical,2020,17759,16,False,True,True
240,337~167554,2005-10-19 07:00:00.000,1,False,Land Rover,Electrical,2019,17759,15,False,True,True
